x,x,x
"Aumento de Bujía de Cañón Corto para VW Sedan 1100, 1200, 1500, 1600, Combi 1600, Safari, Brasilia",$15.00,https://refaccionariamario.com/aumentos/188-aumento-de-bujia-de-canon-corto-para-vw-sedan-1100-1200-1500-1600-combi-1600-safari-brasilia.html
"Arnés conector de elementos de encendido electrónico para VW Sedan 1600, Atlantic, Caribe, Combi 1600, Golf A2, Jetta A2",$125.00,https://refaccionariamario.com/arneses/185-arnes-conector-de-elementos-de-encendido-electronico-para-vw-sedan-1600-atlantic-caribe-combi-1600-golf-a2-jetta-a2.html
Barra Estabilizadora Delantera para VW Sedan,$125.00,https://refaccionariamario.com/barras/202-barra-estabilizadora-delantera-para-vw-sedan.html
"Bayoneta verificadora del nivel de aceite para VW Sedan, Combi 1500, 1600",$35.00,https://refaccionariamario.com/bayonetas/204-bayoneta-verificadora-del-nivel-de-aceite-para-vw-sedan-combi-1500-1600.html
"Juego de 4 Balatas Semimetálicas de Freno de Disco Delanteras Luk para VW Sedan, Brasilia",$195.00,https://refaccionariamario.com/balatas/189-juego-de-4-balatas-semimetalicas-de-freno-de-disco-delanteras-luk-para-vw-sedan-brasilia.html
"Banda Dentada de Generador o Alternador Gates para VW Sedan, Combi, Brasilia, Safari, Hormiga",$70.00,https://refaccionariamario.com/bandas/200-banda-dentada-de-generador-o-alternador-gates-para-vw-sedan-combi-brasilia-safari-hormiga.html
"Birlo Ajustador de Balancines de 8mm para VW Sedan 1200, 1500, Combi 1500",$10.00,https://refaccionariamario.com/birlos-de-balancin/210-birlo-ajustador-de-balancines-de-8mm-para-vw-sedan-1200-1500-combi-1500.html
"Balero de Rodillos de Rueda Delantera Exterior SKF para VW Sedan 1600, 1600i",$90.00,https://refaccionariamario.com/baleros-de-rueda/192-balero-de-rodillos-de-rueda-delantera-exterior-skf-para-vw-sedan-1600-1600i.html
Banda Dentada de Generador o Alternador Bruck para Motor 1600 Enfriado por Aire,$120.00,https://refaccionariamario.com/bandas/201-banda-dentada-de-generador-o-alternador-bruck-para-motor-1600-enfriado-por-aire.html
"Birlo de Cabeza de Motor para VW Sedan, Combi 1500, 1600, Safari, Brasilia, Hormiga",$15.00,https://refaccionariamario.com/birlos-de-cabeza/211-birlo-de-cabeza-de-motor-para-vw-sedan-combi-1500-1600-safari-brasilia-hormiga.html
"Juego de Balatas de Disco Delanteras para VW Sedan 1600i, Brasilia",$160.00,https://refaccionariamario.com/balatas/191-juego-de-balatas-de-disco-delanteras-para-vw-sedan-1600i-brasilia.html
"Balero Interno de Rodillos de Rueda Delantera SFK para VW Sedan 1600, 1600i",$110.00,https://refaccionariamario.com/baleros-de-rueda/193-balero-interno-de-rodillos-de-rueda-delantera-sfk-para-vw-sedan-1600-1600i.html
"Balero de Rodillos de Rueda Delantera Exterior BSK para VW Sedan 1600, 1600i",$40.00,https://refaccionariamario.com/baleros-de-rueda/194-balero-de-rodillos-de-rueda-delantera-exterior-bsk-para-vw-sedan-1600-1600i.html
"Birlo de carburador en sobremedida 8 a 9 mm para VW Sedan, Combi 1500, 1600, Safari, Brasilia, Hormiga",$7.00,https://refaccionariamario.com/birlos-de-carburador/213-birlo-de-carburador-en-sobremedida-8-a-9-mm-para-vw-sedan-combi-1500-1600-safari-brasilia-hormiga.html
"Balero de Rodillos de Rueda Delantera Interior BSK para VW Sedan 1600, 1600i",$60.00,https://refaccionariamario.com/baleros-de-rueda/195-balero-de-rodillos-de-rueda-delantera-interior-bsk-para-vw-sedan-1600-1600i.html
"Birlo de carburador en sobremedida 8 a 10 mm para VW Sedan, Combi 1500, 1600, Safari, Brasilia, Hormiga",$8.00,https://refaccionariamario.com/birlos-de-carburador/214-birlo-de-carburador-en-sobremedida-8-a-10-mm-para-vw-sedan-combi-1500-1600-safari-brasilia-hormiga.html
"Birlo de motor para VW Sedan, Combi 1500, 1600, Safari, Brasilia, Hormiga",$15.00,https://refaccionariamario.com/birlos-de-motor/216-birlo-de-motor-para-vw-sedan-combi-1500-1600-safari-brasilia-hormiga.html
"Birlo Sujetador de Rueda para VW Sedan 1200, 1500, Safari",$45.00,https://refaccionariamario.com/birlos-de-rueda/219-birlo-sujetador-de-rueda-para-vw-sedan-1200-1500-safari.html
Bisagra de Cofre con Resorte para VW Sedan,$170.00,https://refaccionariamario.com/bisagras-de-cofre/220-bisagra-de-cofre-con-resorte-para-vw-sedan.html
"Bombilla de flotador de tanque de  gasolina para VW Sedan, Combi, Caribe, Corsar",$15.00,https://refaccionariamario.com/bombillas-de-flotador/233-bombilla-de-flotador-de-tanque-de-gasolina-para-vw-sedan-combi-caribe-corsar.html
"Bisel de faro cromado para VW Sedan 1500, 1600i, Combi, Safari, Hormiga",$145.00,https://refaccionariamario.com/biseles/207-bicel-de-faro-cromado-para-vw-sedan-1500-1600i-combi-safari-hormiga.html
"Brida base de bomba de gasolina para VW Sedan, Combi 1600, Brasilia, Safari, Hormiga",$20.00,https://refaccionariamario.com/bridas-de-bomba/238-brida-base-de-bomba-de-gasolina-para-vw-sedan-combi-1600-brasilia-safari-hormiga.html
"Bisel de Faro color Blanco para VW Sedan 1500, 1600i, Combi, Safari, Hormiga",$145.00,https://refaccionariamario.com/biseles/208-bicel-de-faro-color-blanco-para-vw-sedan-1500-1600i-combi-safari-hormiga.html
"Brincador de Corriente de Bujías para VW Sedan, Combi 1500, 1600, Caribe, Atlantic",$10.00,https://refaccionariamario.com/brincadores/239-brincador-de-corriente-de-bujias-para-vw-sedan-combi-1500-1600-caribe-atlantic.html
"Birlo Ajustador de Balancines de 9mm para VW Sedan 1600, 1600i, Combi 1600, Brasilia, Safari",$15.00,https://refaccionariamario.com/birlos-de-balancin/209-birlo-ajustador-de-balancines-de-9mm-para-vw-sedan-1600-1600i-combi-1600-brasilia-safari.html
"Bujía de 1 Electrodo con Punta de Cobre Bosch para VW Sedan 1100, 1200, 1500,1600, Combi, Brasilia, Safari, Hormiga",$50.00,https://refaccionariamario.com/bujias/248-bujia-de-1-electrodo-con-punta-de-cobre-bosch-para-vw-sedan-1100-1200-15001600-combi-brasilia-safari-hormiga.html
"Bujía de 1 Electrodo con Punta de Cobre Beru para VW Sedan, Combi, Brasilia, Safari, Hormiga",$40.00,https://refaccionariamario.com/bujias/249-bujia-de-1-electrodo-con-punta-de-cobre-beru-para-vw-sedan-combi-brasilia-safari-hormiga.html
"Bujía de 1 Electrodo con Punta de Cobre Champion para VW Sedan, Combi, Brasilia, Safari, Hormiga",$30.00,https://refaccionariamario.com/bujias/250-bujia-de-1-electrodo-con-punta-de-cobre-champion-para-vw-sedan-combi-brasilia-safari-hormiga.html
"Caja de Guantera de Fibra de Vidrio para VW Sedan 1100, 1200, 1500",$110.00,https://refaccionariamario.com/cajas-de-guantera/270-caja-de-guantera-de-fibra-de-vidrio-para-vw-sedan-1100-1200-1500.html
Buje De Nylon de Pedal de Freno para VW Sedan,$20.00,https://refaccionariamario.com/bujes-de-eje/240-buje-de-nylon-de-pedal-de-freno-para-vw-sedan.html
Carrete de soporte de pedal de acelerador para VW Sedan,$15.00,https://refaccionariamario.com/carretes-de-acelerador/282-carrete-de-soporte-de-pedal-de-acelerador-para-vw-sedan.html
"Birlo Fijador de Rueda con la Suspensión para VW Sedan 1600, 1600i",$45.00,https://refaccionariamario.com/birlos-de-rueda/218-birlo-fijador-de-rueda-con-la-suspension-para-vw-sedan-1600-1600i.html
Buje De Nylon de Eje de Clutch para VW Sedan,$7.00,https://refaccionariamario.com/bujes-de-eje/241-buje-de-nylon-de-eje-de-clutch-para-vw-sedan.html
Alfombra Protectora de Lámina y Cubierta de Cables de Tablero para VW Sedan,$210.00,https://refaccionariamario.com/cartones-de-cofre/283-alfombra-protectora-de-lamina-y-cubierta-de-cables-de-tablero-para-vw-sedan.html
"Buje de volante de Nylon Suave de columna de dirección para VW Sedan, Combi",$15.00,https://refaccionariamario.com/bujes-de-volante/245-buje-de-volante-de-nylon-suave-de-columna-de-direccion-para-vw-sedan-combi.html
"Cebolla ORIGINAL amortiguadora de movimientos de cambio de velocidades para VW Sedan, Combi",$20.00,https://refaccionariamario.com/repuestos-de-palanca/284-cebolla-original-amortiguadora-de-movimientos-de-cambio-de-velocidades-para-vw-sedan-combi.html
"Bobina Cuadrada de Encendido de Motor Hella para VW Sedan 1600i, Golf A3, Jetta A3, Derby, Eurovan T4","$1,115.00",https://refaccionariamario.com/bobinas/221-bobina-cuadrada-de-encendido-de-motor-hella-para-vw-sedan-1600i-golf-a3-jetta-a3-derby-eurovan-t4.html
"Buje de Volante de Plástico Rígido de Columna de Dirección para VW Sedan, Combi, Atlantic, Caribe",$10.00,https://refaccionariamario.com/bujes-de-volante/246-buje-de-volante-de-plastico-rigido-de-columna-de-direccion-para-vw-sedan-combi-atlantic-caribe.html
"Cedazo filtrante de combustible para VW Sedan, Combi 1600, Caribe, Safari, Brasilia",$30.00,https://refaccionariamario.com/cedazos-de-tanque/285-cedazo-filtrante-de-combustible-para-vw-sedan-combi-1600-caribe-safari-brasilia.html
"Bobina de Encendido Convencional Bosch para VW Sedan, Combi 1500, 1600 Caribe 1600, 1700, Atlantic 1600, 1700",$270.00,https://refaccionariamario.com/bobinas/224-bobina-de-encendido-convencional-bosch-para-vw-sedan-combi-1500-1600-caribe-1600-1700-atlantic-1600-1700.html
Boca de Relleno de Aceite de Motor para VW Sedan 1600i,$155.00,https://refaccionariamario.com/bocas-de-relleno/227-boca-de-relleno-de-aceite-de-motor-para-vw-sedan-1600i.html
"Chaveta fijadora de rueda trasera para VW Sedan, Combi, Brasilia, Safari",$10.00,https://refaccionariamario.com/chavetas/290-chaveta-fijadora-de-rueda-trasera-para-vw-sedan-combi-brasilia-safari.html
"Bobina de Encendido Electrónico de Motores Carburados Bosch para VW Sedan 1600, Combi, Caribe, Atlantic, Golf A2, Jetta A2",$330.00,https://refaccionariamario.com/bobinas/222-bobina-de-encendido-electronico-de-motores-carburados-bosch-para-vw-sedan-1600-combi-caribe-atlantic-golf-a2-jetta-a2.html
"Bobina ORIGINAL de encendido Convencional para VW Sedan, Combi 1500, 1600, Safari, Brasilia, Hormiga, Atlántic, Caribe.",$325.00,https://refaccionariamario.com/bobinas/225-bobina-de-encendido-para-vw-sedan-brasilia-caribe-atlantic-golf-a2-y-jetta-a2-en.html
"Bomba de aceite con porta filtro para VW Sedan 1600i, Combi 1600",$580.00,https://refaccionariamario.com/bombas-de-aceite/229-bomba-de-aceite-con-porta-filtro-para-vw-sedan-1600i-combi-1600.html
"Bobina de Encendido Electrónico Original para VW Sedan, Combi, Golf A2, Jetta A2, Caribe, Atlantic, Corsar",$370.00,https://refaccionariamario.com/bobinas/223-bobina-de-encendido-electronico-original-para-vw-sedan-combi-golf-a2-jetta-a2.html
"Boca de relleno de aceite de motor para VW Sedan, Combi 1600, Safari, Brasilia, Hormiga",$145.00,https://refaccionariamario.com/bocas-de-relleno/226-boca-de-relleno-de-aceite-de-motor-para-vw-sedan-combi-1600-safari-brasilia-hormiga.html
Cincho bobina Vw Sedan/ Combi 1600,$40.00,https://refaccionariamario.com/cinchos-de-bobina/312-cincho-bobina-vw-sedan-combi-1600.html
"Bomba de Aceite de Motor Carburado para VW Sedan 1600, Combi 1600, Safari, Hormiga, Brasilia",$400.00,https://refaccionariamario.com/bombas-de-aceite/228-bomba-de-aceite-de-motor-carburado-para-vw-sedan-1600-combi-1600-safari-hormiga-brasilia.html
"Bomba de Gasolina Mecánica Kem para VW Sedán 1600, Combi 1600, Safari, Hormiga, Brasilia",$525.00,https://refaccionariamario.com/bombas-de-gasolina/232-bomba-de-gasolina-mecanica-kem-para-vw-sedan-1600-combi-1600-safari-hormiga-brasilia.html
"Brack Porta Defensa Negro sin Lado para VW Sedan 1600, 1600i",$60.00,https://refaccionariamario.com/bracks/236-brack-porta-defensa-negro-sin-lado-para-vw-sedan-1600-1600i.html
"Claxon Hella para VW Sedan, Combi, Brasilia, Safari, Hormiga",$270.00,https://refaccionariamario.com/claxons/314-claxon-hella-para-vw-sedan-combi-brasilia-safari-hormiga.html
"Brazo de Pluma Limpiadora con Gancho para VW Sedan 1500, 1600, 1600i",$60.00,https://refaccionariamario.com/brazos-de-limpiador/237-brazo-de-pluma-limpiadora-con-gancho-para-vw-sedan-1500-1600-1600i.html
"Cople de Manguera de Calefacción para VW Sedan, Combi 1600, Brasilia, Safari",$45.00,https://refaccionariamario.com/coples-de-calefaccion/332-cople-de-manguera-de-calefaccion-para-vw-sedan-combi-1600-brasilia-safari.html
Corbata de Carrocería Protectora de Motor de Hule para VW Sedán,$265.00,https://refaccionariamario.com/corbatas-de-motor/333-corbata-de-carroceria-protectora-de-motor-de-hule-para-vw-sedan.html
Faro con Mica de Cristal Rayado y Bisel Cromado para VW Sedan 1200,$825.00,https://refaccionariamario.com/faros/394-faro-con-mica-de-cristal-rayado-y-bicel-cromado-para-vw-sedan-1200.html
Chicote de pedal de acelerador para VW Sedan 1500,$35.00,https://refaccionariamario.com/chicotes-de-acelerador/293-chicote-de-pedal-de-acelerador-para-vw-sedan-1500.html
Filtro de aire Vw Sedan. (Elemento),$20.00,https://refaccionariamario.com/filtros-de-aire/403-filtro-de-aire-vw-sedan.html
"Chicote con Funda de Freno de Mano para VW Sedan 1500, 1300 y 1200",$140.00,https://refaccionariamario.com/chicotes-de-freno/299-chicote-con-funda-de-freno-de-mano-para-vw-sedan-1500.html
Juego de Cables de Encendido Electrónico de Bujía Beru para VW Sedan 1600i,$755.00,https://refaccionariamario.com/cables-de-bujia/265-juego-de-cables-de-encendido-electronico-de-bujia-beru-para-vw-sedan-1600i.html
"Filtro de gasolina para Vw Sedan, Brasilia, Caribe, Atlantic, Combi, Safari, Hormiga (Motores 1.6) Grande RECAL",$20.00,https://refaccionariamario.com/filtros-de-gasolina/405-filtro-de-gasolina-para-vw-sedan-brasilia-caribe-atlantic-combi-safari-hormiga-motores-16-grande-recal.html
Juego de cables de encendido electrónico de bujía para VW Sedan 1600i con capuchón Rojo para motores Fuel Injection,$155.00,https://refaccionariamario.com/cables-de-bujia/266-juego-de-cables-de-encendido-electronico-de-bujia-para-vw-sedan-1600i-con-capuchon-rojo-para-motores-fuel-injeticon.html
"Chicote de Velocímetro Cablex para VW Sedan, Brasilia",$120.00,https://refaccionariamario.com/chicotes-de-velocimetro/304-chicote-de-velocimetro-cablex-para-vw-sedan-brasilia.html
"Caja de guantera de Fibra de Vidrio para VW Sedan 1600,1600i",$100.00,https://refaccionariamario.com/cajas-de-guantera/269-caja-de-guantera-de-fibra-de-vidrio-para-vw-sedan-16001600i.html
"Flauta para aceite Vw Sedan, Combi, Brasilia",$40.00,https://refaccionariamario.com/tubos-de-punterias/408-flauta-para-aceite-vw.html
"Calavera sin Lado Hella para VW Sedan 1600,1600i, Safari",$950.00,https://refaccionariamario.com/calaveras/272-calavera-sin-lado-hella-para-vw-sedan-16001600i-safari.html
"Foco de 2 Polos Tipo Chorizo de Plafón Interior para VW Sedan, Combi, Atlántic, Caribe",$7.00,https://refaccionariamario.com/focos/413-foco-de-2-polos-tipo-chorizo-de-plafon-interior-para-vw-sedan-combi-atlantic-caribe.html
Funda Embellecedora Para Bobina,$200.00,https://refaccionariamario.com/fundas-de-bobina/416-funda-de-bobina-vw.html
"Funda de Chicote de Clutch Vw Sedan, Combi",$120.00,https://refaccionariamario.com/fundas-de-clutch/417-funda-de-chicote-de-clutch-vw-sedan-combi.html
"Juego de Calaveras Transparentes con Luz Led Mirsa para VW Sedan 1600, 1600i","$1,585.00",https://refaccionariamario.com/calaveras/275-juego-de-calaveras-transparentes-con-luz-led-mirsa-para-vw-sedan-1600-1600i.html
Juego de Contra Viseras Color Negro para VW Sedan,$15.00,https://refaccionariamario.com/contraviseras/329-juego-de-contra-viseras-color-negro-para-vw-sedan.html
Paquete de 8 Gomas de Tubo de Punterías para VW Sedán y Combi,$60.00,https://refaccionariamario.com/gomas-de-flauta/428-paquete-de-8-gomas-de-tubo-de-punterias-para-vw-sedan-y-combi.html
"Bulbo Medidor de Nivel de Aceite de Motor MSeries para VW Sedan, Combi 1600, Safari, Brasilia, Hormiga",$35.00,https://refaccionariamario.com/bulbos-de-aceite/253-bulbo-medidor-de-nivel-de-aceite-de-motor-mseries-para-vw-sedan-combi-1600-safari-brasilia-hormiga.html
"Juego de 2 Calaveras con Mica Transparente Mirsa para VW Sedan 1600, 1600i",$725.00,https://refaccionariamario.com/calaveras/276-juego-de-2-calaveras-con-mica-transparente-mirsa-para-vw-sedan-1600-1600i.html
Juego de Contraviseras Color Blanco para VW Sedan,$15.00,https://refaccionariamario.com/contraviseras/330-juego-de-contraviseras-color-blanco-para-vw-sedan.html
"Goma de Grapa de Tapa de Puerta para VW Sedan, Combi, Brasilia, Atlantic, Caribe",$4.00,https://refaccionariamario.com/gomas-de-grapa/429-goma-de-grapa-de-tapa-de-puerta-para-vw-sedan-combi-brasilia-atlantic-caribe.html
"Grapa de Tapa de Puerta Interior para VW Sedan, Combi, Atlantic, caribe, Brasilia",$10.00,https://refaccionariamario.com/grapas-para-tapas-de-puerta/437-grapa-de-tapa-de-puerta-interior-para-vw-sedan-combi-atlantic-caribe-brasilia.html
"Bulbo Interruptor de Luces de Freno Herta para Combi, Sedán, Caribe, Atlantic, Safari, Brasilia",$40.00,https://refaccionariamario.com/bulbos-de-stop/260-bulbo-interruptor-de-luces-de-freno-herta-para-combi-sedan-caribe-atlantic-safari-brasilia.html
"Grapa de Alambre de Tapa de Puerta Interior para VW Sedan, Combi, Atlantic, caribe, Brasilia",$4.00,https://refaccionariamario.com/grapas-para-tapas-de-puerta/438-grapa-de-alambre-de-tapa-de-puerta-interior-para-vw-sedan-combi-atlantic-caribe-brasilia.html
"Juego de 5 Cables de Bujías de Encendido Convencional Bosch para VW Sedan, Combi 1600, Brasilia, Safari, Hormiga",$225.00,https://refaccionariamario.com/cables-de-bujia/261-juego-de-5-cables-de-bujias-de-encendido-convencional-bosch-para-vw-sedan-combi-1600-brasilia-safari-hormiga.html
"Juego de cables de bujía de encendido convencional para VW Sedan, Combi 1600, Safari, Brasilia, Hormiga",$100.00,https://refaccionariamario.com/cables-de-bujia/262-cables-de-bujias-sedan-brasilia-hormiga-combi-16.html
"Cruceta de Pipa de Palanca de Velocidades para VW Sedan 1500, 1600, 1600i, Combi",$70.00,https://refaccionariamario.com/crucetas/336-cruceta-de-pipa-de-palanca-de-velocidades-para-vw-sedan-1500-1600-1600i-combi.html
Junta carter Vw Sedan/ Combi.,$10.00,https://refaccionariamario.com/juntas-de-carter/464-junta-carter-vw-sedan-combi.html
"Juego de 5 Cables de Bujía de Motor con Encendido Convencional Beru para VW Sedan, Combi 1600, Safari, Brasilia, Hormiga",$440.00,https://refaccionariamario.com/cables-de-bujia/263-juego-de-5-cables-de-bujia-de-motor-con-encendido-convencional-beru-para-vw-sedan-combi-1600-safari-brasilia-hormiga.html
"Cruceta de Pipa de Palanca de Velocidades Reforzada para VW Sedan 1500, 1600, 1600i, Combi",$105.00,https://refaccionariamario.com/crucetas/337-cruceta-de-pipa-de-palanca-de-velocidades-reforzada-para-vw-sedan-1500-1600-1600i-combi.html
"Junta de Escape Tipo Cocol Chico para VW Sedan, Brasilia, Safari, Combi",$15.00,https://refaccionariamario.com/juntas-de-escape/465-junta-de-escape-tipo-cocol-chico-para-vw-sedan-brasilia-safari-combi.html
Cubo para turbina Vw Sedan/ Combi 1600.,$105.00,https://refaccionariamario.com/cubos-de-turbina/343-cubo-para-turbina-vw-sedan-combi-1600.html
"Junta de Escape Tipo Cocol Grande para VW Sedan, Combi, Brasilia, Safari, Hormiga",$15.00,https://refaccionariamario.com/juntas-de-escape/466-junta-de-escape-tipo-cocol-grande-para-vw-sedan-combi-brasilia-safari-hormiga.html
"Chapa de Guantera HELLA sin llave para VW Sedan 1500, 1600, 1600i, Combi 1600",$215.00,https://refaccionariamario.com/chapas-de-guantera/286-chapa-de-guantera-hella-sin-llave-para-vw-sedan-1500-1600-1600i-combi-1600.html
"Laina Arandela de Polea de Generador y Alternador para Vw Sedan, Combi",$5.00,https://refaccionariamario.com/lainas-de-generador/475-laina-arandela-de-polea-de-generador-y-alternador-para-vw-sedan-combi.html
"Chapa de Guantera sin llave para VW Sedan 1600, 1600i, Combi 1600",$80.00,https://refaccionariamario.com/chapas-de-guantera/287-chapa-de-guantera-sin-llave-para-vw-sedan-1600-1600i-combi-1600.html
Cuña de generador Vw Sedan/ Combi.,$6.00,https://refaccionariamario.com/cunas-de-generador/347-cuna-para-generador-vw-sedan-combi.html
Manguera de Calefacción CROMADA de Tolva de Turbina para VW Sedan,$150.00,https://refaccionariamario.com/mangueras-de-calefaccion/483-manguera-calefaccion-vw-sedan.html
Deposito para liquido de frenos Vw Sedan,$55.00,https://refaccionariamario.com/depositos-de-liquido-de-frenos/353-deposito-para-liquido-de-frenos-vw-sedan.html
Manguera de Calefacción Color NEGRO de Tolva de Turbina para VW Sedan,$135.00,https://refaccionariamario.com/mangueras-de-calefaccion/484-manguera-calefaccion-vw-sedan.html
Eje de Pedal de clutch Vw Sedan.,$70.00,https://refaccionariamario.com/ejes-de-clutch/359-eje-de-clutch-vw-sedan.html
Manija de puerta (interior) Vw Sedan 1500,$75.00,https://refaccionariamario.com/manijas-interiores/491-manija-puerta-interior-vw-sedan.html
"Chicote de Pedal de Acelerador Casha para VW Sedán 1600, 1600i",$60.00,https://refaccionariamario.com/chicotes-de-acelerador/292-chicote-de-pedal-de-acelerador-casha-para-vw-sedan-1600-1600i.html
"Soporte de Pedal de Acelerador para VW Sedán 1500, 1600, 1600i",$80.00,https://refaccionariamario.com/ejes-de-pedal/363-soporte-de-pedal-de-acelerador-para-vw-sedan-1500-1600-1600i.html
Manija Elevador de Vidrio Cromada con Perilla Negra para VW Sedan 1200 y 1500.,$75.00,https://refaccionariamario.com/manijas-de-vidrio/492-manija-elevador-vw-sedan.html
"Chicote Reforzado de pedal de acelerador para VW Sedan 1600, 1600i",$50.00,https://refaccionariamario.com/chicotes-de-acelerador/294-chicote-reforzado-de-pedal-de-acelerador-para-vw-sedan-1600-1600i.html
"Escobilla Interna de Distribuidor de Encendido de Platinos Herta para VW Sedán 1600, Combi 1600, Atlantic, Caribe",$20.00,https://refaccionariamario.com/escobillas/371-escobilla-interna-de-distribuidor-de-encendido-de-platinos-herta-para-vw-sedan-1600-combi-1600-atlantic-caribe.html
"Tuerca Mariposa de ajuste de chicote de clutch para VW Sedan, Combi 1600, Brasilia, Safari, Hormiga",$30.00,https://refaccionariamario.com/mariposas-de-clutch/500-mariposa-de-chicote-de-clutch-para-vw-sedan-y-combi.html
"Carburador de Motor sin Sistema Altimétrico MSeries para VW Sedan 1600, Combi 1600, Brasilia, Safari, Hormiga","$2,355.00",https://refaccionariamario.com/carburadores/281-carburador-de-motor-sin-sistema-altimetrico-mseries-para-vw-sedan-1600-combi-1600-brasilia-safari-hormiga.html
"Chicote de Pedal de Clutch para VW Sedan 1600, 1600i",$85.00,https://refaccionariamario.com/chicotes-de-clutch/296-chicote-de-pedal-de-clutch-para-vw-sedan-1600-1600i.html
Juego de Molduras Anchas Cromadas de Carrocería para VW Sedan,$590.00,https://refaccionariamario.com/molduras-exteriores/508-juego-de-molduras-anchas-cromadas-de-carroceria-para-vw-sedan.html
Chicote Liberador de Cofre con Funda Cahsa para VW Sedan,$105.00,https://refaccionariamario.com/chicotes-de-cofre/297-chicote-liberador-de-cofre-con-funda-cahsa-para-vw-sedan.html
"Palanca de Freno de Mano con Botón y Resorte para VW Sedán, Brasilia, Safari",$200.00,https://refaccionariamario.com/palancas-de-freno/515-palanca-de-freno-de-mano-con-boton-y-resorte-para-vw-sedan-brasilia-safari.html
"Juego de 2 Estribos Negros con Moldura para VW Sedan 1500, 1600, 1600i",$455.00,https://refaccionariamario.com/estribos/386-juego-de-2-estribos-negros-con-moldura-para-vw-sedan-1500-1600-1600i.html
Pared de Fuego Cromada con 4 Paneles Laterales para VW Sedan,$665.00,https://refaccionariamario.com/pared-de-fuego/523-pared-de-fuego-cromada-con-4-paneles-laterales-para-vw-sedan.html
Juego de estribos Lisos Cromados para VW Sedan,$530.00,https://refaccionariamario.com/estribos/388-estribo-cromado-liso-vw-sedan.html
Pedal roller redondo chico (Aluminio),$275.00,https://refaccionariamario.com/pedales-de-acelerador/530-pedal-roller-chico.html
"Cilindro de Freno de Rueda Delantera para VW Sedan 1500, 1600, 1600i",$110.00,https://refaccionariamario.com/cilindros-de-rueda/306-cilindro-de-freno-de-rueda-delantera-para-vw-sedan-1500-1600-1600i.html
"Juego de Estribos Blancos con Moldura Ancha Comada para VW Sedan 1200, 1500 y 1600",$705.00,https://refaccionariamario.com/estribos/389-juego-de-estribos-blancos-con-moldura-ancha-comada-para-vw-sedan-1200-1500-y-1600.html
Pedal roller redondo grande (Aluminio),$340.00,https://refaccionariamario.com/pedales-de-acelerador/531-pedal-roller-grande-sport.html
"Cilindro de Freno de Rueda Trasera para VW Sedan 1500, 1600, 1600i",$115.00,https://refaccionariamario.com/cilindros-de-rueda/307-cilindro-de-freno-de-rueda-trasera-para-vw-sedan-1500-1600-1600i.html
